StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,,,,
1001,17,Female,Caucasian,Some College,19.83,7,Yes,Moderate,No,No,Yes,No,2.93,C,,,,
1002,18,Male,Caucasian,High School,15.41,0,No,Low,No,No,No,No,3.04,B,,,,
1003,15,Male,Asian,Bachelors,4.21,26,No,Moderate,No,No,No,No,0.11,F,,,,
1004,17,Female,Caucasian,Bachelors,10.03,14,No,High,Yes,No,No,No,2.05,D,,,,
1005,17,Female,Caucasian,Some College,4.67,17,Yes,High,No,No,No,No,1.29,F,,,,
1006,18,Male,Caucasian,High School,8.19,0,No,Low,Yes,No,No,No,3.08,B,,,,
1007,15,Male,African American,High School,15.6,10,No,High,No,Yes,No,No,2.75,C,,,,
1008,15,Female,African American,Higher than Bachelors,15.42,22,Yes,Low,Yes,No,No,No,1.36,F,,,,
1009,17,Male,Caucasian,None,4.56,1,No,Moderate,No,Yes,No,Yes,2.9,C,,,,
1010,16,Female,Caucasian,High School,18.44,0,No,High,Yes,No,No,No,3.57,A,,,,
1011,17,Male,Caucasian,High School,11.85,11,No,Low,No,No,No,No,2.15,D,,,,
1012,17,Male,Caucasian,High School,7.6,15,No,Moderate,No,No,No,Yes,1.56,F,,,,
1013,17,Male,African American,High School,10.04,21,No,High,Yes,No,No,No,1.52,F,,,,
1014,17,Male,African American,Some College,12.1,21,No,Very High,No,Yes,No,No,1.75,F,,,,
1015,18,Female,Caucasian,High School,11.2,9,Yes,Moderate,No,No,No,No,2.4,D,,,,
1016,15,Male,Caucasian,Some College,9.73,17,Yes,None,No,Yes,No,No,1.34,F,,,,
1017,18,Male,Other,High School,10.1,14,No,Moderate,Yes,Yes,No,No,2.23,D,,,,
1018,18,Female,Caucasian,None,3.53,16,Yes,Moderate,No,No,No,No,1.38,F,,,,
1019,18,Male,African American,Bachelors,16.25,29,No,Moderate,Yes,No,No,Yes,0.47,F,,,,
1020,17,Male,Caucasian,High School,10.84,9,No,Moderate,No,No,Yes,No,2.4,D,,,,
1021,16,Female,Caucasian,Bachelors,2.62,2,No,High,No,No,No,Yes,2.78,C,,,,
1022,15,Male,Caucasian,Some College,15.32,25,No,Low,Yes,No,No,No,0.35,F,,,,
1023,16,Female,African American,None,18.65,29,Yes,Low,No,No,No,No,0.31,F,,,,
1024,18,Female,Other,Higher than Bachelors,18.95,20,No,Moderate,Yes,No,No,No,1.77,F,,,,
1025,18,Female,Caucasian,High School,7.38,15,No,Moderate,No,No,No,No,1.51,F,,,,
1026,16,Female,Caucasian,Bachelors,2.71,5,No,Very High,No,No,Yes,No,2.98,C,,,,
1027,16,Male,Caucasian,High School,10.37,2,No,Moderate,No,Yes,No,No,2.95,C,,,,
1028,16,Female,Caucasian,Bachelors,2.25,8,No,High,No,No,Yes,No,2.15,D,,,,
1029,18,Male,Caucasian,None,18.68,10,No,High,Yes,No,No,No,2.85,C,,,,
1030,18,Male,Caucasian,Some College,3.67,20,No,High,Yes,No,No,No,1.52,F,,,,
1031,15,Male,Asian,Some College,5.06,12,Yes,None,No,Yes,No,No,1.73,F,,,,
1032,15,Male,Caucasian,Bachelors,8.13,17,No,Very High,No,No,No,Yes,1.85,F,,,,
1033,18,Male,Caucasian,Bachelors,7.66,25,No,Low,No,Yes,No,No,0.38,F,,,,
1034,16,Male,Other,Bachelors,15.89,21,No,None,Yes,Yes,No,No,0.95,F,,,,
1035,16,Male,Caucasian,Bachelors,9.13,27,Yes,Moderate,Yes,Yes,No,No,1.14,F,,,,
1036,15,Male,Other,High School,3.42,23,No,Low,No,No,No,No,0.26,F,,,,
1037,18,Male,Caucasian,High School,5.34,26,Yes,Low,No,No,No,No,0.22,F,,,,
1038,15,Male,Asian,High School,10.18,21,Yes,Low,No,Yes,No,No,1.07,F,,,,
1039,15,Female,African American,High School,2.95,3,Yes,Low,Yes,Yes,No,No,3.02,B,,,,
1040,17,Female,Asian,High School,12.23,21,Yes,High,Yes,Yes,No,No,1.53,F,,,,
1041,17,Female,Other,Some College,11.31,23,Yes,Low,No,No,No,No,1.06,F,,,,
1042,17,Male,Caucasian,High School,14.29,7,No,Moderate,No,No,No,No,2.63,C,,,,
1043,16,Female,Other,Some College,18.75,12,Yes,Very High,No,No,No,No,2.81,C,,,,
1044,18,Female,Caucasian,High School,18.25,9,No,Moderate,No,Yes,No,No,2.89,C,,,,
1045,18,Female,Caucasian,High School,18.92,1,Yes,High,Yes,Yes,No,No,4,A,,,,
1046,18,Male,Caucasian,Some College,4.89,7,No,Very High,No,No,Yes,No,2.52,C,,,,
1047,18,Male,African American,Some College,2.63,5,No,Low,Yes,No,No,No,2.56,C,,,,
1048,17,Male,Caucasian,Some College,6.05,15,No,Moderate,No,No,No,No,1.7,F,,,,
1049,16,Male,African American,Some College,17.9,17,No,High,No,No,Yes,No,2.1,D,,,,
1050,16,Female,African American,High School,19.44,16,No,Very High,Yes,No,No,No,2.46,D,,,,
1051,17,Female,Asian,Some College,17.19,5,No,High,No,No,No,No,2.94,C,,,,
1052,16,Female,Asian,None,2.2,12,Yes,Low,Yes,No,Yes,No,1.99,F,,,,
1053,17,Female,Caucasian,High School,18.95,22,No,Very High,No,No,Yes,No,1.57,F,,,,
1054,18,Male,Caucasian,Some College,8.47,13,No,Low,No,Yes,No,No,1.66,F,,,,
1055,17,Male,Caucasian,None,0.19,29,Yes,Moderate,Yes,Yes,No,No,0.76,F,,,,
1056,18,Male,Caucasian,High School,8.85,25,No,Moderate,No,Yes,No,No,0.8,F,,,,
1057,18,Female,Caucasian,Higher than Bachelors,0.92,20,No,Moderate,No,Yes,Yes,No,1.34,F,,,,
1058,15,Male,Caucasian,Higher than Bachelors,10.88,29,No,High,Yes,No,No,No,0.29,F,,,,
1059,17,Male,Caucasian,High School,6.77,9,Yes,High,No,Yes,No,No,2.61,C,,,,
1060,15,Female,Other,None,9.47,23,No,High,No,Yes,No,No,0.93,F,,,,
1061,17,Female,African American,High School,12.26,10,No,None,Yes,No,Yes,No,1.89,F,,,,
